번호,CardId,카드명,코스트,타입,레어도,타겟,기본 효과,강화 효과,강화 차이 요약
32,OVERCLOCK_DRUM,오버클록 드럼,2,Power,Uncommon,,"지속: 매 턴 첫 추적탄 발사는 피해 +8, 추적탄 1발 장전.","지속: 매 턴 첫 추적탄 발사는 피해 +8, 추적탄 1발 장전. 비용 1.",비용 감소
33,OVERCLOCK_CHARGE,오버클록 장약,3,Power,Rare,,지속: 한 턴에 3번째 발사 성공 시 에너지를 1 획득.,지속: 한 턴에 3번째 발사 성공 시 에너지를 1 획득. 선천성.,선천성 추가
34,EXECUTION_SHOT,처형 사격,1,Attack,Uncommon,AnyEnemy,10 피해로 방아쇠 1회. 대상 체력이 절반 이하면 추가로 12 피해.,14 피해로 방아쇠 1회. 대상 체력이 절반 이하면 추가로 14 피해.,피해 증가
35,SIGIL_GUARD,시질 가드,1,Skill,Common,,방어도 5 획득. 가장 높은 봉인 레벨만큼 추가 방어도 획득.,방어도 7 획득. 가장 높은 봉인 레벨만큼 추가 방어도 획득.,방어 증가
37,SEAL_RITE,봉인 장약,2,Power,Uncommon,,지속: 턴 시작 시 봉인탄 1발 장전. 봉인탄 발사 시 다음 봉인탄 레벨 +1. 없으면 봉인탄 1발 장전 후 임시 봉인 사격 생성.,(1) 지속: 턴 시작 시 봉인탄 1발 장전. 봉인탄 발사 시 다음 봉인탄 레벨 +1. 없으면 봉인탄 1발 장전 후 임시 봉인 사격 생성.,비용 감소
38,SEAL_SEARCH,봉인 추적,1,Skill,Uncommon,,가장 높은 봉인탄을 발사 칸으로 옮깁니다. 카드 1장 뽑기.,가장 높은 봉인탄을 발사 칸으로 옮깁니다. 카드 2장 뽑기.,드로우 증가
39,SEAL_RELEASE_KAI,봉인 해방: 개,3,Attack,Rare,AnyEnemy,장전된 모든 봉인탄을 순서대로 발사. 처치할 때마다 봉인탄을 장전하거나 레벨 +1.,장전된 모든 봉인탄을 순서대로 발사. 처치할 때마다 봉인탄을 장전하거나 레벨 +2. 비용 2.,비용 감소 및 성장 증가
40,SEAL_OPEN,봉인 개방,1,Skill,Uncommon,,가장 높은 봉인탄을 발사 칸으로 옮깁니다.,가장 높은 봉인탄을 발사 칸으로 옮깁니다. 그 봉인 레벨 +1. 카드 1장 뽑기.,정렬 강화
41,SEAL_AMPLIFY,봉인 증폭,1,Skill,Uncommon,,장전된 모든 봉인탄 레벨을 1 올립니다.,장전된 모든 봉인탄 레벨을 2 올립니다.,레벨 증가
42,SEAL_RESONANCE,봉인 공명,2,Attack,Rare,AnyEnemy,가장 높은 봉인탄을 발사 칸으로 옮기고 1회 발사. 이후 그 봉인 레벨의 2배만큼 추가 피해.,가장 높은 봉인탄을 발사 칸으로 옮기고 1회 발사. 이후 그 봉인 레벨의 3배만큼 추가 피해.,추가 피해 증가
43,SEAL_RAMPAGE,봉인 폭주,1,Skill,Uncommon,,가장 높은 봉인탄 레벨을 최대 2 낮춥니다. 에너지 1 획득.,가장 높은 봉인탄 레벨을 최대 1 낮춥니다. 에너지 1 획득. 카드 1장 뽑기.,드로우 추가
44,SEAL_INSIGHT,봉인 통찰,1,Skill,Uncommon,,"카드 1장 뽑기. 봉인탄이 있으면 1장 더, 레벨 3 이상이면 1장 더.","카드 1장 뽑기. 봉인탄이 있으면 1장 더, 레벨 3 이상이면 2장 더.",드로우 증가
45,SEAL_BARRIER,봉인 방벽,2,Skill,Rare,,방어도 10 획득. 가장 높은 봉인 레벨의 2배만큼 추가 방어도 획득.,방어도 14 획득. 가장 높은 봉인 레벨의 2배만큼 추가 방어도 획득.,방어 증가
